** World Map Location info
** name : row : col : fromMapIndex : getMapIndex : terrain : teleporter : monsterFrequencies : riddlePoints
TEMP:-1:-1:-1:-1:1:(-1 -1 -1 ?):[]:[]
ship:-1:-1:-1:-1:1:(-1 -1 -1 ?):[]:[]
Skara-Brae:50:50:0:-1:24:(2 -1 -1 ?):[]:[]
Lower Rarport:240:77:0:-1:32:(2 -1 -1 ?):[]:[]
Fepipot Santuary:453:763:0:-1:24:(2 -1 -1 ?):[]:[]
Jec cavern:819:432:0:-1:35:(2 -1 -1 ?):[]:[]
Ludos quarry:33:653:0:-1:38:(2 -1 -1 ?):[]:[]
Besidhirst Township:732:896:0:-1:22:(2 -1 -1 ?):[]:[]
Dumonoc mine:558:719:0:-1:38:(2 -1 -1 ?):[]:[]
Cisar grotto:662:360:0:-1:35:(2 -1 -1 ?):[]:[]
Lords Bucerut:345:464:0:-1:26:(2 -1 -1 ?):[]:[]
Mulecom Mission:206:753:0:-1:24:(2 -1 -1 ?):[]:[]
Hon Pass:309:759:0:-1:41:(2 -1 -1 ?):[]:[]
Risad cave:321:816:0:-1:36:(2 -1 -1 ?):[]:[]
Cam Shrine:185:952:0:-1:24:(2 -1 -1 ?):[]:[]
Ninel Manor:166:490:0:-1:24:(2 -1 -1 ?):[]:[]
Ribes shaft:980:641:0:-1:38:(2 -1 -1 ?):[]:[]
Radelor grotto:94:573:0:-1:35:(2 -1 -1 ?):[]:[]
Thimon quarry:287:144:0:-1:38:(2 -1 -1 ?):[]:[]
Ponin shaft:129:390:0:-1:38:(2 -1 -1 ?):[]:[]
Gupadfolk Manor:936:229:0:-1:22:(2 -1 -1 ?):[]:[]
Gamekes cave:648:188:0:-1:35:(2 -1 -1 ?):[]:[]
Greater Botacuk:580:25:0:-1:26:(2 -1 -1 ?):[]:[]
Botacuk Odeum:580:23:0:-1:28:(2 -1 -1 ?):[]:[]
Thices hollow:391:401:0:-1:36:(2 -1 -1 ?):[]:[]
Ched Gap:281:963:0:-1:41:(2 -1 -1 ?):[]:[]
Medus shaft:962:907:0:-1:38:(2 -1 -1 ?):[]:[]
Tesik Tabernacle:532:412:0:-1:24:(2 -1 -1 ?):[]:[]
Fitic cavern:752:247:0:-1:35:(2 -1 -1 ?):[]:[]
Chod burrow:168:475:0:-1:35:(2 -1 -1 ?):[]:[]
Rutus quarry:599:906:0:-1:38:(2 -1 -1 ?):[]:[]
Todub quarry:765:982:0:-1:38:(2 -1 -1 ?):[]:[]
Cetam Temple:69:606:0:-1:24:(2 -1 -1 ?):[]:[]
Lords Hasocsmith:98:164:0:-1:26:(2 -1 -1 ?):[]:[]
Pomipoc mine:945:590:0:-1:38:(2 -1 -1 ?):[]:[]
Motemfield Manor:910:204:0:-1:30:(2 -1 -1 ?):[]:[]
Mocanpont Hold:546:142:0:-1:21:(2 -1 -1 ?):[]:[]
Bokup Cathedral:901:251:0:-1:24:(2 -1 -1 ?):[]:[]
Nucudut Pantheon:555:640:0:-1:24:(2 -1 -1 ?):[]:[]
Banut burrow:207:58:0:-1:37:(2 -1 -1 ?):[]:[]
Kodilap grotto:234:123:0:-1:37:(2 -1 -1 ?):[]:[]
Bis Trenches:486:912:0:-1:41:(2 -1 -1 ?):[]:[]
Kodospont Proper:802:88:0:-1:22:(2 -1 -1 ?):[]:[]
Lower Getemim:6:285:0:-1:26:(2 -1 -1 ?):[]:[]
Getemim Coliseum:6:283:0:-1:28:(2 -1 -1 ?):[]:[]
Ripocel Proper:34:478:0:-1:22:(2 -1 -1 ?):[]:[]
Star cavern:156:781:0:-1:35:(2 -1 -1 ?):[]:[]
Lower Dulilut:952:885:0:-1:34:(2 -1 -1 ?):[]:[]
Rusibel Crossing:792:339:0:-1:41:(2 -1 -1 ?):[]:[]
Kings Jucilmore:1:535:0:-1:26:(2 -1 -1 ?):[]:[]
Nedutin Field:684:354:0:-1:41:(2 -1 -1 ?):[]:[]
Middle Darilhirst:824:445:0:-1:33:(2 -1 -1 ?):[]:[]
New Tibotstow:118:42:0:-1:34:(2 -1 -1 ?):[]:[]
Cikop Manor:10:568:0:-1:24:(2 -1 -1 ?):[]:[]
Tesotob Manor:989:838:0:-1:24:(2 -1 -1 ?):[]:[]
Terut quarry:129:743:0:-1:38:(2 -1 -1 ?):[]:[]
Bicuren hollow:978:595:0:-1:35:(2 -1 -1 ?):[]:[]
Panes shaft:723:456:0:-1:38:(2 -1 -1 ?):[]:[]
Lords Seneser:305:182:0:-1:21:(2 -1 -1 ?):[]:[]
Hirekak shaft:910:670:0:-1:38:(2 -1 -1 ?):[]:[]
Gedshaw Commons:975:173:0:-1:21:(2 -1 -1 ?):[]:[]
Hokik grotto:161:482:0:-1:36:(2 -1 -1 ?):[]:[]
Stamatub fount:113:917:0:-1:38:(2 -1 -1 ?):[]:[]
Mutelit lair:714:321:0:-1:37:(2 -1 -1 ?):[]:[]
Pobedun cave:708:137:0:-1:35:(2 -1 -1 ?):[]:[]
Lords Shonimthorp:594:930:0:-1:22:(2 -1 -1 ?):[]:[]
Nubin den:460:959:0:-1:35:(2 -1 -1 ?):[]:[]
Lalacok fort:85:780:0:-1:37:(2 -1 -1 ?):[]:[]
Notirop grotto:138:426:0:-1:35:(2 -1 -1 ?):[]:[]
Old Lemases:30:468:0:-1:26:(2 -1 -1 ?):[]:[]
Mikport Keep:352:430:0:-1:22:(2 -1 -1 ?):[]:[]
Kirden Township:742:83:0:-1:26:(2 -1 -1 ?):[]:[]
Piers Cupiruc:766:576:0:-1:34:(2 -1 -1 ?):[]:[]
Shumeb den:358:528:0:-1:37:(2 -1 -1 ?):[]:[]
Middle Dasosdover:921:24:0:-1:23:(2 -1 -1 ?):[]:[]
Shutud quarry:960:696:0:-1:38:(2 -1 -1 ?):[]:[]
Norel cavern:570:893:0:-1:35:(2 -1 -1 ?):[]:[]
Old Jamitis:783:47:0:-1:34:(2 -1 -1 ?):[]:[]
Lower Rarulib:939:909:0:-1:22:(2 -1 -1 ?):[]:[]
Lords Thedanod:904:418:0:-1:33:(2 -1 -1 ?):[]:[]
Tasekom fount:278:170:0:-1:38:(2 -1 -1 ?):[]:[]
Fubat mine:968:585:0:-1:38:(2 -1 -1 ?):[]:[]
Tamum cavern:288:917:0:-1:35:(2 -1 -1 ?):[]:[]
Chebuc mine:471:802:0:-1:38:(2 -1 -1 ?):[]:[]
Lords Fonomas:707:202:0:-1:33:(2 -1 -1 ?):[]:[]
Chesosut Gulch:489:434:0:-1:41:(2 -1 -1 ?):[]:[]
Pad burrow:556:927:0:-1:35:(2 -1 -1 ?):[]:[]
Jobeler den:362:663:0:-1:35:(2 -1 -1 ?):[]:[]
Dotes Field:778:804:0:-1:41:(2 -1 -1 ?):[]:[]
Shobik quarry:932:956:0:-1:38:(2 -1 -1 ?):[]:[]
Rabibud cavern:847:409:0:-1:35:(2 -1 -1 ?):[]:[]
Cicapburg Township:289:280:0:-1:26:(2 -1 -1 ?):[]:[]
Cicapburg Bowl:289:282:0:-1:28:(2 -1 -1 ?):[]:[]
Jisol burrow:75:311:0:-1:35:(2 -1 -1 ?):[]:[]
Chelirid Temple:836:977:0:-1:24:(2 -1 -1 ?):[]:[]
Torurob cave:650:354:0:-1:35:(2 -1 -1 ?):[]:[]
Nimes den:591:715:0:-1:37:(2 -1 -1 ?):[]:[]
Sinuman burrow:289:306:0:-1:35:(2 -1 -1 ?):[]:[]
Sharerap cavern:109:532:0:-1:35:(2 -1 -1 ?):[]:[]
Domocus den:543:935:0:-1:35:(2 -1 -1 ?):[]:[]
Stedapem Commons:844:877:0:-1:32:(2 -1 -1 ?):[]:[]
Thumec burrow:16:971:0:-1:36:(2 -1 -1 ?):[]:[]
Son keep:371:484:0:-1:37:(2 -1 -1 ?):[]:[]
Himabol den:788:514:0:-1:37:(2 -1 -1 ?):[]:[]
Lasenford Keep:968:580:0:-1:23:(2 -1 -1 ?):[]:[]
Hopokburg City:937:133:0:-1:33:(2 -1 -1 ?):[]:[]
Kinoruc Temple:669:719:0:-1:24:(2 -1 -1 ?):[]:[]
Shotocal fount:699:17:0:-1:38:(2 -1 -1 ?):[]:[]
Lulesen Manor:244:738:0:-1:22:(2 -1 -1 ?):[]:[]
Shabib mine:33:816:0:-1:38:(2 -1 -1 ?):[]:[]
Stun Gap:999:265:0:-1:41:(2 -1 -1 ?):[]:[]
Demepal hollow:333:812:0:-1:35:(2 -1 -1 ?):[]:[]
Ticgate Manor:320:605:0:-1:23:(2 -1 -1 ?):[]:[]
Nurasom Keep:52:594:0:-1:33:(2 -1 -1 ?):[]:[]
Dic Mission:533:385:0:-1:24:(2 -1 -1 ?):[]:[]
Gelodik shaft:627:574:0:-1:38:(2 -1 -1 ?):[]:[]
Burulit shaft:350:378:0:-1:38:(2 -1 -1 ?):[]:[]
Jocap grotto:58:675:0:-1:35:(2 -1 -1 ?):[]:[]
Kokumas Valley:292:251:0:-1:41:(2 -1 -1 ?):[]:[]
Thodup shaft:383:409:0:-1:38:(2 -1 -1 ?):[]:[]
Chekar mine:352:767:0:-1:38:(2 -1 -1 ?):[]:[]
Kings Laselshaw:230:532:0:-1:22:(2 -1 -1 ?):[]:[]
Pudamap burrow:264:861:0:-1:35:(2 -1 -1 ?):[]:[]
Nobimop hollow:802:811:0:-1:36:(2 -1 -1 ?):[]:[]
Fop hold:706:52:0:-1:37:(2 -1 -1 ?):[]:[]
Piers Chopilut:778:494:0:-1:34:(2 -1 -1 ?):[]:[]
Henudburg Manor:439:626:0:-1:23:(2 -1 -1 ?):[]:[]
Mikoris cavern:862:428:0:-1:35:(2 -1 -1 ?):[]:[]
Lotun den:786:812:0:-1:37:(2 -1 -1 ?):[]:[]
Caketam grotto:464:925:0:-1:35:(2 -1 -1 ?):[]:[]
Gub Valley:960:424:0:-1:41:(2 -1 -1 ?):[]:[]
Port Fanetad:564:126:0:-1:34:(2 -1 -1 ?):[]:[]
Jimuc fort:443:638:0:-1:37:(2 -1 -1 ?):[]:[]
Cenville Yard:975:239:0:-1:34:(2 -1 -1 ?):[]:[]
Chinot keep:206:975:0:-1:37:(2 -1 -1 ?):[]:[]
Chupalas den:314:49:0:-1:37:(2 -1 -1 ?):[]:[]
Kings Lukelhope:236:128:0:-1:30:(2 -1 -1 ?):[]:[]
Shaledham Keep:782:179:0:-1:22:(2 -1 -1 ?):[]:[]
Fid Gorge:608:331:0:-1:41:(2 -1 -1 ?):[]:[]
Jotitia City:785:618:0:-1:22:(2 -1 -1 ?):[]:[]
Lem Santuary:480:89:0:-1:24:(2 -1 -1 ?):[]:[]
Pecoc mine:906:528:0:-1:38:(2 -1 -1 ?):[]:[]
Shadunob Docks:984:205:0:-1:34:(2 -1 -1 ?):[]:[]
Rusem burrow:646:945:0:-1:35:(2 -1 -1 ?):[]:[]
Mulul fort:263:509:0:-1:37:(2 -1 -1 ?):[]:[]
Chananul Trenches:698:997:0:-1:41:(2 -1 -1 ?):[]:[]
Bokocburn Keep:924:153:0:-1:32:(2 -1 -1 ?):[]:[]
Mon shaft:593:564:0:-1:38:(2 -1 -1 ?):[]:[]
Macus Mission:236:605:0:-1:24:(2 -1 -1 ?):[]:[]
